table_name,foreign_key_column,referenced_table,referenced_column
rl_antecedente_ciap,co_ciap,tb_ciap,co_seq_ciap
rl_antecedente_ciap,co_prontuario,tb_antecedente,co_prontuario
rl_atend_proced,co_proced,tb_proced,co_seq_proced
rl_atend_proced,co_cid10_principal,tb_cid10,co_cid10
rl_atend_proced,co_atend_prof,tb_atend_prof,co_seq_atend_prof
rl_atend_prof_ad_tipo_inelegvl,co_atend_prof_ad,tb_atend_prof_ad,co_atend_prof_ad
rl_atend_prof_ad_tipo_inelegvl,tp_ad_inelegivel,tb_ad_tipo_inelegivel,co_ad_tipo_inelegivel
rl_atend_prof_conduta,tp_cds_conduta,tb_cds_tipo_conduta,co_cds_tipo_conduta
rl_atend_prof_conduta,co_atend_prof,tb_atend_prof,co_seq_atend_prof
rl_atend_prof_odonto_tipo_encm,co_atend_prof_odonto,tb_atend_prof_odonto,co_atend_prof_odonto
rl_atend_prof_odonto_tipo_encm,tp_encam_odonto,tb_tipo_encam_odonto,co_tipo_encam_odonto
rl_atend_prof_odonto_tipo_frnc,tp_fornecimento_odonto,tb_tipo_fornec_odonto,co_tipo_fornec_odonto
rl_atend_prof_odonto_tipo_frnc,co_atend_prof_odonto,tb_atend_prof_odonto,co_atend_prof_odonto
rl_atend_prof_pic,co_atend_prof,tb_atend_prof,co_seq_atend_prof
rl_atend_prof_pic,co_cds_pic,tb_cds_pic,co_cds_pic
rl_atend_tipo_servico,co_atend,tb_atend,co_seq_atend
rl_atend_tipo_servico,tp_servico,tb_tipo_servico,co_seq_tipo_servico
rl_ator_papel_perfil,co_ator_papel,tb_ator_papel,co_seq_ator_papel
rl_ator_papel_perfil,co_perfil,tb_perfil,co_seq_perfil
rl_calendario_vacnl_grupo_alvo,co_calendario_vacinal,tb_calendario_vacinal,co_calendario_vacinal
rl_calendario_vacnl_grupo_alvo,co_sexo,tb_sexo,co_sexo
rl_calendario_vacnl_grupo_alvo,co_grupo_alvo_vacinacao,tb_grupo_alvo_vacinacao,co_grupo_alvo_vacinacao
rl_calendario_vacnl_grupo_alvo,co_faixa_etaria_vacinacao,tb_faixa_etaria_vacinacao,co_faixa_etaria_vacinacao
rl_cds_atend_dom_proced,co_proced,tb_proced,co_seq_proced
rl_cds_atend_dom_proced,co_cds_atend_domiciliar,tb_cds_atend_domiciliar,co_seq_cds_atend_domiciliar
rl_cds_atend_dom_situacao_pres,co_cds_situacao_presente,tb_cds_tipo_situacao_presente,co_cds_tipo_situacao_presente
rl_cds_atend_dom_situacao_pres,co_cds_atend_domiciliar,tb_cds_atend_domiciliar,co_seq_cds_atend_domiciliar
rl_cds_atend_individual_ciap,co_cds_atend_individual,tb_cds_atend_individual,co_seq_cds_atend_individual
rl_cds_atend_individual_ciap,co_ciap,tb_ciap,co_seq_ciap
rl_cds_atend_individual_condut,tp_cds_conduta,tb_cds_tipo_conduta,co_cds_tipo_conduta
rl_cds_atend_individual_condut,co_cds_atend_individual,tb_cds_atend_individual,co_seq_cds_atend_individual
rl_cds_atend_individual_exame,co_exame,tb_proced,co_seq_proced
rl_cds_atend_individual_exame,co_cds_atend_individual,tb_cds_atend_individual,co_seq_cds_atend_individual
rl_cds_atend_individual_nasf,co_cds_atend_individual,tb_cds_atend_individual,co_seq_cds_atend_individual
rl_cds_atend_individual_nasf,tp_cds_atend_nasf,tb_cds_tipo_atend_nasf,co_cds_tipo_atend_nasf
rl_cds_atend_odont_tip_vig_buc,co_cds_atend_odonto,tb_cds_atend_odonto,co_seq_cds_atend_odonto
rl_cds_atend_odont_tip_vig_buc,tp_cds_vig_saude_bucal,tb_cds_tipo_vig_saude_bucal,co_cds_tipo_vig_saude_bucal
rl_cds_atend_odonto_proced,co_cds_atend_odonto,tb_cds_atend_odonto,co_seq_cds_atend_odonto
rl_cds_atend_odonto_proced,co_proced,tb_proced,co_seq_proced
rl_cds_atend_odonto_tipo_cnslt,co_cds_atend_odonto,tb_cds_atend_odonto,co_seq_cds_atend_odonto
rl_cds_atend_odonto_tipo_cnslt,tp_consulta_odonto,tb_tipo_consulta_odonto,co_tipo_consulta_odonto
rl_cds_atend_odonto_tipo_encam,tp_encam_odonto,tb_tipo_encam_odonto,co_tipo_encam_odonto
rl_cds_atend_odonto_tipo_encam,co_cds_atend_odonto,tb_cds_atend_odonto,co_seq_cds_atend_odonto
rl_cds_atend_odonto_tipo_fornc,tp_fornecimento_odonto,tb_tipo_fornec_odonto,co_tipo_fornec_odonto
rl_cds_atend_odonto_tipo_fornc,co_cds_atend_odonto,tb_cds_atend_odonto,co_seq_cds_atend_odonto
rl_cds_aval_eleg_ad_tipo_inelg,co_cds_aval_elegibilidade,tb_cds_aval_elegibilidade,co_seq_cds_aval_elegibilidade
rl_cds_aval_eleg_ad_tipo_inelg,tp_ad_inelegivel,tb_ad_tipo_inelegivel,co_ad_tipo_inelegivel
rl_cds_aval_eleg_cds_situc_prs,tp_cds_situacao_presente,tb_cds_tipo_situacao_presente,co_cds_tipo_situacao_presente
rl_cds_aval_eleg_cds_situc_prs,co_cds_aval_elegibilidade,tb_cds_aval_elegibilidade,co_seq_cds_aval_elegibilidade
rl_cds_ficha_atend_indivdl_prf,co_cds_prof,tb_cds_prof,co_seq_cds_prof
rl_cds_ficha_atend_indivdl_prf,co_cds_ficha_atend_individual,tb_cds_ficha_atend_individual,co_seq_cds_ficha_atend_indivdl
rl_cds_ficha_atend_odonto_prof,co_cds_prof,tb_cds_prof,co_seq_cds_prof
rl_cds_ficha_atend_odonto_prof,co_cds_ficha_atend_odonto,tb_cds_ficha_atend_odonto,co_seq_cds_ficha_atend_odonto
rl_cds_ficha_ativ_col_pratica,co_cds_ativ_col_pratica,tb_cds_ativ_col_pratica,co_cds_ativ_col_pratica
rl_cds_ficha_ativ_col_pratica,co_cds_ficha_ativ_col,tb_cds_ficha_ativ_col,co_seq_cds_ficha_ativ_col
rl_cds_ficha_ativ_col_prof,co_cds_ficha_ativ_col,tb_cds_ficha_ativ_col,co_seq_cds_ficha_ativ_col
rl_cds_ficha_ativ_col_prof,co_cds_prof,tb_cds_prof,co_seq_cds_prof
rl_cds_ficha_ativ_col_pub_alvo,co_cds_ficha_ativ_col,tb_cds_ficha_ativ_col,co_seq_cds_ficha_ativ_col
rl_cds_ficha_ativ_col_pub_alvo,co_cds_ativ_col_publico_alvo,tb_cds_ativ_col_publico_alvo,co_cds_ativ_col_publico_alvo
rl_cds_ficha_ativ_col_tema,co_cds_ativ_col_tema,tb_cds_ativ_col_tema,co_cds_ativ_col_tema
rl_cds_ficha_ativ_col_tema,co_cds_ficha_ativ_col,tb_cds_ficha_ativ_col,co_seq_cds_ficha_ativ_col
rl_cds_proced_adm_medicamento,co_cds_proced,rl_proced_cds_proced,co_cds_proced
rl_cds_proced_adm_medicamento,co_proced,rl_proced_cds_proced,co_proced
rl_cds_proced_adm_medicamento,co_proced,rl_proced_cds_proced,co_cds_proced
rl_cds_proced_adm_medicamento,co_cds_proced,rl_proced_cds_proced,co_proced
rl_cds_proced_adm_medicamento,co_cds_adm_medicamento,tb_cds_adm_medicamento,co_cds_adm_medicamento
rl_cds_prontuario_unidade_saud,co_ator_papel,tb_unidade_saude,co_seq_unidade_saude
rl_cds_prontuario_unidade_saud,co_prontuario,tb_prontuario,co_seq_prontuario
rl_cds_visita_dom_motivo,co_cds_visita_dom_motivo,tb_cds_visita_dom_motivo,co_cds_visita_dom_motivo
rl_cds_visita_dom_motivo,co_cds_visita_domiciliar,tb_cds_visita_domiciliar,co_seq_cds_visita_domiciliar
rl_ciap_cid10,co_ciap,tb_ciap,co_seq_ciap
rl_ciap_cid10,co_cid10,tb_cid10,co_cid10
rl_evol_aval_tp_vig_saude_bucl,co_tipo_vig_saude_bucal,tb_cds_tipo_vig_saude_bucal,co_cds_tipo_vig_saude_bucal
rl_evol_aval_tp_vig_saude_bucl,co_evolucao_avaliacao,tb_evolucao_avaliacao,co_atend_prof
rl_evolucao_avaliacao_ciap_cid,co_ciap,tb_ciap,co_seq_ciap
rl_evolucao_avaliacao_ciap_cid,co_cid10,tb_cid10,co_cid10
rl_evolucao_avaliacao_ciap_cid,co_atend_prof,tb_atend_prof,co_seq_atend_prof
rl_evolucao_odonto_parte_bucal,co_evolucao_odonto,tb_evolucao_odonto,co_seq_evolucao_odonto
rl_evolucao_odonto_parte_bucal,co_parte_bucal,tb_parte_bucal,co_parte_bucal
rl_evolucao_odonto_proced,co_evolucao_odonto,tb_evolucao_odonto,co_seq_evolucao_odonto
rl_evolucao_odonto_proced,co_proced,tb_proced,co_seq_proced
rl_evolucao_plano_ciap,co_atend_prof,tb_atend_prof,co_seq_atend_prof
rl_evolucao_plano_ciap,co_proced,tb_proced,co_seq_proced
rl_evolucao_plano_ciap,co_ciap,tb_ciap,co_seq_ciap
rl_evolucao_subjetivo_ciap,co_ciap,tb_ciap,co_seq_ciap
rl_evolucao_subjetivo_ciap,co_atend_prof,tb_atend_prof,co_seq_atend_prof
rl_grupo_ativ_col_cidadao,co_grupo,tb_grupo_ativ_col,co_seq_grupo_ativ_col
rl_grupo_ativ_col_cidadao,co_cidadao,tb_cidadao_grupo_ativ_col,co_seq_cidadao_grupo
rl_grupo_ativ_col_prof,co_grupo,tb_grupo_ativ_col,co_seq_grupo_ativ_col
rl_grupo_ativ_col_prof,co_prof,tb_prof_grupo_ativ_col,co_seq_prof_grupo
rl_grupo_condicao_ciap_cid,co_grupo_condicao,tb_grupo_condicao_saude,co_seq_grupo_condicao_saude
rl_grupo_condicao_ciap_cid,co_ciap,tb_ciap,co_seq_ciap
rl_grupo_condicao_ciap_cid,co_cid10,tb_cid10,co_cid10
rl_historico_cabecalho,co_ficha_concatenada,tb_historico_cabecalho,co_seq_historico_cabecalho
rl_historico_cabecalho,co_ficha_origem_concatenacao,tb_historico_cabecalho,co_seq_historico_cabecalho
rl_perfil_cbo_padrao,co_cbo,tb_cbo,co_cbo
rl_proced_atributo_complem,co_proced,tb_proced,co_seq_proced
rl_proced_atributo_complem,co_atributo_complem,tb_atributo_complem,co_atributo_complem
rl_proced_cbo,co_cbo,tb_cbo,co_cbo
rl_proced_cbo,co_proced,tb_proced,co_seq_proced
rl_proced_cds_proced,co_proced,tb_proced,co_seq_proced
rl_proced_cds_proced,co_cds_proced,tb_cds_proced,co_seq_cds_proced
